username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,181000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,174000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,57100,https://github.com/fffaraz/awesome-cpp
,azl397985856,54200,https://github.com/azl397985856
youngyangyang04,leetcode-master,48900,https://github.com/youngyangyang04/leetcode-master
,x64dbg,43700,https://github.com/x64dbg
,WerWolv,40600,https://github.com/WerWolv
Light-City,CPlusPlusThings,38100,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,35500,https://github.com/ClickHouse/ClickHouse
huihut,interview,33800,https://github.com/huihut/interview
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
,CMU-Perceptual-Computing-Lab,30400,https://github.com/CMU-Perceptual-Computing-Lab
,doocs,29800,https://github.com/doocs
TheAlgorithms,C-Plus-Plus,29600,https://github.com/TheAlgorithms/C-Plus-Plus
,microsoft,29300,https://github.com/microsoft
,aseprite,27600,https://github.com/aseprite
,dragonflydb,24500,https://github.com/dragonflydb
,changkun,23500,https://github.com/changkun
gabime,spdlog,23000,https://github.com/gabime/spdlog
ethereum,solidity,22700,https://github.com/ethereum/solidity
