username,repo_name,stars,repo_url
,sindresorhus,310000,https://github.com/sindresorhus
vinta,awesome-python,212000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,187000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,137000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,125000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,87700,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,85200,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,80100,https://github.com/Hack-with-Github/Awesome-Hacking
,jaywcjlove,73100,https://github.com/jaywcjlove
DopplerHQ,awesome-interview-questions,69000,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,65900,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,63300,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,57100,https://github.com/fffaraz/awesome-cpp
,sindresorhus,57000,https://github.com/sindresorhus
,binhnguyennus,56800,https://github.com/binhnguyennus
prakhar1989,awesome-courses,55500,https://github.com/prakhar1989/awesome-courses
,Solido,52200,https://github.com/Solido
,wasabeef,49800,https://github.com/wasabeef
tiimgreen,github-cheat-sheet,46600,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46400,https://github.com/vsouza/awesome-ios
